Customer_ID,Age,Gender,Annual_Income,Spending_Score,Region,Marital_Status,Num_of_Children,Employment_Status,Credit_Score,Online_Shopping_Frequency,Target
CUST_86,27.00,Female,"£88,459.00",23.00,East,Widowed,0.00,Unemployed,420.00,9.00,1
CUST_87,64.00,Female,"£45,791.00",29.00,South,Widowed,4.00,Unemployed,384.00,9.00,0
CUST_88,20.00,Male,"£132,046.00",43.00,North,Widowed,4.00,Employed,396.00,5.00,0
CUST_89,47.00,Male,"£118,735.00",81.00,West,Single,4.00,Student,570.00,12.00,0
CUST_90,38.00,Female,"£100,336.00",58.00,North,Divorced,4.00,Employed,568.00,15.00,0
CUST_91,46.00,Male,"£110,797.00",87.00,West,Divorced,0.00,Retired,312.00,18.00,1
CUST_92,66.00,Male,"£118,659.00",74.00,West,Widowed,1.00,Employed,693.00,18.00,1
CUST_93,67.00,Male,"£132,688.00",98.00,North,Single,4.00,Unemployed,389.00,12.00,0
CUST_94,68.00,Male,"£137,620.00",81.00,East,Widowed,3.00,Retired,355.00,12.00,1
CUST_95,54.00,Male,"£96,703.00",97.00,East,Divorced,2.00,Unemployed,656.00,12.00,0
CUST_96,48.00,Female,"£139,885.00",42.00,West,Single,3.00,Unemployed,342.00,15.00,0
CUST_97,35.00,Male,"£132,911.00",23.00,East,Married,0.00,Student,303.00,16.00,0
CUST_98,18.00,Female,"£45,045.00",44.00,North,Single,2.00,Employed,760.00,17.00,1
CUST_99,34.00,Female,"£138,509.00",5.00,South,Single,4.00,Retired,669.00,14.00,0
CUST_100,65.00,Female,"£114,505.00",25.00,West,Married,0.00,Student,657.00,10.00,0
CUST_101,55.00,Male,"£56,759.00",19.00,South,Married,1.00,Unemployed,806.00,17.00,0
CUST_102,30.00,Male,"£29,129.00",18.00,West,Widowed,2.00,Retired,781.00,12.00,0
CUST_103,23.00,Female,"£121,898.00",9.00,East,Single,4.00,Retired,758.00,17.00,0
CUST_104,41.00,Female,"£118,136.00",60.00,West,Widowed,3.00,Unemployed,547.00,14.00,0
CUST_105,43.00,Male,"£57,743.00",47.00,West,Divorced,4.00,Unemployed,847.00,7.00,0
CUST_106,20.00,Male,"£142,624.00",9.00,East,Married,0.00,Unemployed,799.00,3.00,0
CUST_107,51.00,Male,"£130,409.00",13.00,East,Divorced,0.00,Student,799.00,1.00,1
CUST_108,60.00,Female,"£72,538.00",39.00,North,Divorced,0.00,Employed,482.00,3.00,1
CUST_109,38.00,Female,"£41,602.00",74.00,West,Single,4.00,Retired,313.00,16.00,1
CUST_110,33.00,Male,"£86,523.00",85.00,South,Single,2.00,Unemployed,693.00,16.00,0
CUST_111,52.00,Female,"£83,070.00",40.00,North,Widowed,4.00,Unemployed,575.00,0.00,0
CUST_112,60.00,Male,"£27,654.00",8.00,North,Married,1.00,Student,370.00,19.00,0
CUST_113,31.00,Male,"£25,870.00",43.00,East,Widowed,4.00,Employed,683.00,0.00,0
CUST_114,18.00,Male,"£125,824.00",29.00,North,Married,2.00,Unemployed,490.00,9.00,0
CUST_115,30.00,Female,"£64,816.00",7.00,West,Married,0.00,Retired,558.00,13.00,0
CUST_116,49.00,Female,"£127,472.00",93.00,East,Divorced,4.00,Unemployed,799.00,14.00,0
CUST_117,42.00,Female,"£147,804.00",40.00,East,Divorced,2.00,Student,531.00,0.00,0
CUST_118,68.00,Male,"£40,934.00",72.00,East,Divorced,2.00,Retired,640.00,12.00,0
CUST_119,27.00,Male,"£98,461.00",50.00,South,Divorced,4.00,Employed,660.00,16.00,1
CUST_120,33.00,Male,"£69,348.00",31.00,West,Widowed,1.00,Student,810.00,5.00,0
CUST_121,59.00,Female,"£140,629.00",25.00,North,Married,1.00,Retired,732.00,13.00,1
CUST_122,38.00,Male,"£72,082.00",70.00,North,Divorced,3.00,Employed,373.00,18.00,0
CUST_123,18.00,Female,"£132,785.00",27.00,North,Single,0.00,Employed,741.00,0.00,0
CUST_124,47.00,Male,"£74,350.00",86.00,West,Divorced,0.00,Employed,694.00,14.00,0
CUST_125,37.00,Female,"£106,410.00",19.00,East,Single,1.00,Retired,550.00,12.00,0
CUST_126,45.00,Male,"£62,243.00",52.00,North,Divorced,1.00,Student,409.00,8.00,0
CUST_127,56.00,Female,"£46,404.00",80.00,North,Divorced,0.00,Employed,585.00,0.00,0
CUST_128,51.00,Female,"£112,048.00",87.00,South,Single,1.00,Retired,531.00,8.00,0
CUST_129,26.00,Male,"£37,485.00",84.00,South,Widowed,3.00,Retired,553.00,3.00,0
CUST_130,34.00,Female,"£138,099.00",99.00,East,Widowed,1.00,Student,694.00,2.00,0
CUST_131,49.00,Female,"£35,141.00",17.00,South,Single,0.00,Retired,742.00,8.00,1
CUST_132,41.00,Female,"£135,636.00",58.00,West,Single,4.00,Student,450.00,12.00,0
CUST_133,51.00,Male,"£123,483.00",56.00,West,Single,2.00,Retired,339.00,15.00,0
CUST_134,48.00,Female,"£148,568.00",33.00,West,Married,2.00,Retired,626.00,5.00,1
CUST_135,67.00,Female,"£38,381.00",98.00,West,Widowed,3.00,Employed,788.00,4.00,0
CUST_136,24.00,Male,"£122,993.00",99.00,West,Single,0.00,Unemployed,747.00,19.00,0
CUST_137,31.00,Female,"£122,175.00",11.00,North,Married,0.00,Employed,588.00,9.00,1
CUST_138,55.00,Male,"£20,628.00",92.00,West,Widowed,4.00,Retired,449.00,2.00,0
CUST_139,28.00,Male,"£61,856.00",69.00,North,Divorced,2.00,Employed,830.00,17.00,0
CUST_140,46.00,Female,"£138,335.00",89.00,South,Married,2.00,Retired,314.00,7.00,0
CUST_141,41.00,Male,"£116,481.00",68.00,South,Single,2.00,Retired,399.00,14.00,0
CUST_142,21.00,Female,"£129,183.00",60.00,East,Married,4.00,Retired,800.00,8.00,0
CUST_143,53.00,Female,"£40,091.00",64.00,West,Divorced,3.00,Retired,717.00,16.00,1
CUST_144,67.00,Male,"£108,081.00",89.00,West,Single,4.00,Retired,402.00,18.00,0
CUST_145,23.00,Male,"£129,188.00",33.00,South,Widowed,4.00,Employed,666.00,14.00,0
CUST_146,68.00,Male,"£39,825.00",49.00,North,Married,4.00,Retired,726.00,0.00,1
CUST_147,33.00,Male,"£148,802.00",83.00,East,Divorced,3.00,Employed,399.00,0.00,0
CUST_148,62.00,Female,"£60,861.00",53.00,South,Married,3.00,Retired,742.00,5.00,0
CUST_149,53.00,Male,"£142,213.00",56.00,West,Married,3.00,Retired,705.00,17.00,0
CUST_150,44.00,Male,"£34,670.00",74.00,East,Married,2.00,Retired,616.00,18.00,0
CUST_151,48.00,Female,"£135,929.00",8.00,North,Widowed,1.00,Employed,426.00,1.00,0
CUST_152,66.00,Female,"£30,258.00",95.00,South,Divorced,1.00,Retired,849.00,4.00,0
CUST_153,43.00,Male,"£34,679.00",78.00,North,Married,1.00,Student,748.00,11.00,0
CUST_154,64.00,Female,"£82,350.00",67.00,South,Divorced,2.00,Student,423.00,11.00,1
CUST_155,37.00,Female,"£126,863.00",25.00,South,Widowed,2.00,Unemployed,586.00,8.00,0
CUST_156,51.00,Male,"£99,904.00",59.00,South,Single,4.00,Retired,368.00,1.00,0
CUST_157,18.00,Male,"£20,593.00",35.00,South,Single,0.00,Employed,815.00,0.00,0
CUST_158,37.00,Female,"£101,198.00",57.00,West,Married,4.00,Student,367.00,8.00,0
CUST_159,20.00,Female,"£34,422.00",96.00,North,Married,3.00,Employed,764.00,9.00,0
CUST_160,39.00,Female,"£119,210.00",99.00,South,Widowed,0.00,Unemployed,713.00,14.00,0
CUST_161,59.00,Female,"£34,592.00",88.00,West,Married,3.00,Employed,335.00,5.00,0
CUST_162,37.00,Male,"£76,902.00",10.00,South,Single,3.00,Student,749.00,16.00,0
CUST_163,57.00,Male,"£79,346.00",94.00,West,Widowed,0.00,Employed,687.00,10.00,0
CUST_164,50.00,Female,"£133,438.00",94.00,West,Married,1.00,Student,500.00,4.00,0
CUST_165,44.00,Male,"£61,772.00",17.00,South,Single,4.00,Employed,418.00,14.00,0
CUST_166,55.00,Female,"£45,304.00",71.00,East,Widowed,0.00,Employed,676.00,14.00,0
CUST_167,20.00,Male,"£113,933.00",52.00,South,Married,0.00,Retired,663.00,14.00,0
CUST_168,20.00,Male,"£74,107.00",43.00,South,Single,2.00,Student,401.00,9.00,1
CUST_169,32.00,Female,"£57,348.00",56.00,East,Widowed,0.00,Retired,431.00,14.00,1
CUST_170,45.00,Male,"£26,581.00",34.00,East,Widowed,4.00,Student,732.00,18.00,0
CUST_171,60.00,Female,"£113,074.00",70.00,West,Divorced,0.00,Employed,708.00,5.00,0
CUST_172,60.00,Male,"£51,317.00",95.00,South,Widowed,0.00,Employed,509.00,9.00,0
CUST_173,29.00,Male,"£84,015.00",31.00,North,Single,2.00,Retired,573.00,16.00,0
CUST_174,27.00,Male,"£89,311.00",30.00,North,Married,3.00,Student,649.00,3.00,1
CUST_175,63.00,Male,"£132,150.00",28.00,East,Divorced,4.00,Retired,300.00,6.00,1
CUST_176,54.00,Female,"£137,574.00",88.00,South,Single,4.00,Retired,781.00,7.00,1
CUST_177,68.00,Male,"£98,596.00",2.00,South,Single,2.00,Employed,771.00,12.00,1
CUST_178,35.00,Female,"£108,306.00",92.00,West,Single,3.00,Student,704.00,4.00,0
CUST_179,61.00,Female,"£75,415.00",28.00,West,Single,3.00,Employed,425.00,3.00,0
CUST_180,69.00,Male,"£101,726.00",9.00,North,Widowed,3.00,Student,782.00,1.00,0
CUST_181,66.00,Male,"£110,264.00",47.00,North,Divorced,2.00,Unemployed,314.00,8.00,0
CUST_182,66.00,Female,"£102,328.00",28.00,North,Widowed,3.00,Student,342.00,5.00,0
CUST_183,27.00,Male,"£144,870.00",31.00,West,Single,4.00,Student,483.00,0.00,0
CUST_184,61.00,Male,"£143,324.00",33.00,West,Widowed,3.00,Student,443.00,5.00,1
CUST_185,59.00,Female,"£121,809.00",23.00,North,Widowed,4.00,Student,800.00,5.00,1
CUST_186,59.00,Male,"£20,076.00",82.00,West,Married,1.00,Retired,435.00,17.00,1
CUST_187,33.00,Male,"£144,020.00",31.00,South,Married,1.00,Employed,701.00,1.00,0
CUST_188,34.00,Male,"£86,038.00",7.00,East,Single,2.00,Student,682.00,18.00,0
CUST_189,26.00,Male,"£120,908.00",47.00,North,Widowed,4.00,Student,720.00,1.00,0
CUST_190,57.00,Male,"£117,432.00",66.00,South,Divorced,3.00,Employed,394.00,5.00,1
CUST_191,23.00,Male,"£77,139.00",1.00,South,Single,2.00,Retired,675.00,15.00,0
CUST_192,63.00,Female,"£40,845.00",20.00,North,Single,0.00,Student,612.00,0.00,0
CUST_193,56.00,Female,"£108,227.00",17.00,North,Single,4.00,Unemployed,531.00,13.00,0
CUST_194,54.00,Female,"£21,819.00",91.00,North,Widowed,0.00,Unemployed,464.00,19.00,0
CUST_195,21.00,Female,"£68,979.00",92.00,South,Single,2.00,Unemployed,577.00,9.00,0
CUST_196,39.00,Male,"£27,019.00",43.00,West,Single,4.00,Student,588.00,5.00,0
CUST_197,60.00,Male,"£110,119.00",54.00,East,Married,1.00,Student,638.00,13.00,0
CUST_198,52.00,Male,"£135,732.00",32.00,East,Divorced,1.00,Unemployed,354.00,15.00,0
CUST_199,35.00,Male,"£88,455.00",95.00,North,Divorced,0.00,Employed,476.00,18.00,0
CUST_200,47.00,Female,"£48,320.00",70.00,South,Married,0.00,Employed,633.00,15.00,0
CUST_201,53.00,Male,"£98,436.00",63.00,West,Single,1.00,Student,535.00,17.00,0
CUST_202,23.00,Male,"£134,557.00",88.00,West,Married,2.00,Student,552.00,10.00,0
CUST_203,28.00,Male,"£111,795.00",41.00,North,Married,2.00,Unemployed,761.00,2.00,0
CUST_204,62.00,Female,"£20,993.00",17.00,East,Single,4.00,Student,764.00,14.00,0
CUST_205,42.00,Male,"£54,387.00",20.00,East,Married,4.00,Employed,750.00,17.00,1
CUST_206,29.00,Male,"£100,169.00",70.00,South,Divorced,1.00,Student,447.00,15.00,0
CUST_207,60.00,Female,"£74,841.00",29.00,West,Widowed,1.00,Retired,664.00,3.00,1
CUST_208,34.00,Female,"£109,902.00",64.00,South,Married,2.00,Employed,376.00,16.00,0
CUST_209,23.00,Female,"£109,560.00",58.00,East,Divorced,4.00,Student,493.00,4.00,0
CUST_210,46.00,Male,"£102,003.00",20.00,East,Single,2.00,Student,559.00,7.00,0
CUST_211,38.00,Female,"£71,170.00",31.00,South,Married,1.00,Employed,470.00,5.00,1
CUST_212,21.00,Male,"£28,891.00",81.00,West,Married,4.00,Student,740.00,16.00,1
CUST_213,53.00,Female,"£89,521.00",41.00,North,Single,3.00,Unemployed,642.00,4.00,1
CUST_214,64.00,Female,"£139,954.00",65.00,North,Divorced,0.00,Employed,652.00,1.00,0
CUST_215,68.00,Male,"£38,188.00",95.00,West,Widowed,2.00,Student,750.00,14.00,0
CUST_216,68.00,Female,"£87,413.00",48.00,South,Widowed,4.00,Unemployed,537.00,14.00,1
CUST_217,29.00,Male,"£102,351.00",81.00,East,Married,1.00,Retired,463.00,19.00,0
CUST_218,39.00,Male,"£73,729.00",23.00,South,Single,0.00,Employed,433.00,9.00,1
CUST_219,40.00,Male,"£101,372.00",46.00,South,Divorced,2.00,Retired,442.00,4.00,1
CUST_220,41.00,Male,"£142,589.00",66.00,West,Widowed,0.00,Retired,474.00,17.00,0
CUST_221,64.00,Female,"£21,292.00",17.00,East,Married,2.00,Unemployed,495.00,15.00,0
CUST_222,22.00,Male,"£121,895.00",53.00,West,Married,0.00,Retired,783.00,15.00,0
CUST_223,35.00,Female,"£117,453.00",79.00,North,Widowed,0.00,Student,427.00,9.00,1
CUST_224,54.00,Male,"£59,476.00",80.00,South,Widowed,4.00,Employed,343.00,19.00,0
CUST_225,23.00,Female,"£42,500.00",14.00,West,Married,0.00,Unemployed,346.00,1.00,0
CUST_226,35.00,Female,"£114,429.00",61.00,West,Single,3.00,Employed,406.00,19.00,0
CUST_227,28.00,Female,"£127,283.00",82.00,South,Divorced,0.00,Unemployed,846.00,0.00,0
CUST_228,33.00,Male,"£79,803.00",78.00,East,Divorced,1.00,Retired,591.00,11.00,0
CUST_229,33.00,Female,"£110,965.00",90.00,East,Married,3.00,Student,631.00,19.00,1
CUST_230,53.00,Male,"£23,333.00",99.00,West,Widowed,0.00,Employed,668.00,16.00,1
CUST_231,48.00,Female,"£67,765.00",63.00,South,Single,2.00,Employed,659.00,5.00,0
CUST_232,44.00,Male,"£146,437.00",27.00,West,Widowed,0.00,Unemployed,322.00,6.00,0
CUST_233,33.00,Male,"£111,118.00",61.00,South,Single,2.00,Employed,525.00,5.00,0
CUST_234,35.00,Female,"£20,143.00",71.00,North,Married,3.00,Employed,766.00,12.00,0
CUST_235,66.00,Male,"£76,037.00",3.00,East,Widowed,4.00,Employed,633.00,5.00,1
CUST_236,64.00,Male,"£36,073.00",30.00,North,Married,4.00,Unemployed,505.00,4.00,1
CUST_237,52.00,Female,"£111,626.00",34.00,West,Married,2.00,Student,810.00,6.00,0
CUST_238,57.00,Female,"£91,787.00",21.00,North,Divorced,4.00,Unemployed,307.00,4.00,0
CUST_239,18.00,Female,"£140,734.00",16.00,North,Widowed,1.00,Unemployed,587.00,12.00,0
CUST_240,42.00,Male,"£115,200.00",36.00,West,Single,3.00,Employed,768.00,2.00,1
CUST_241,21.00,Female,"£21,864.00",32.00,North,Divorced,4.00,Employed,753.00,14.00,1
CUST_242,42.00,Male,"£127,387.00",68.00,South,Single,0.00,Student,486.00,16.00,1
CUST_243,59.00,Male,"£105,048.00",50.00,West,Divorced,2.00,Unemployed,682.00,7.00,0
CUST_244,38.00,Female,"£149,403.00",82.00,West,Widowed,2.00,Retired,499.00,7.00,1
CUST_245,45.00,Female,"£114,751.00",52.00,East,Divorced,2.00,Student,421.00,4.00,0
CUST_246,54.00,Male,"£94,043.00",64.00,West,Married,2.00,Retired,645.00,6.00,0
CUST_247,38.00,Male,"£73,390.00",31.00,West,Widowed,3.00,Employed,435.00,16.00,0
CUST_248,43.00,Female,"£29,158.00",55.00,South,Divorced,0.00,Student,479.00,1.00,0
CUST_249,50.00,Female,"£108,259.00",79.00,North,Single,2.00,Employed,765.00,1.00,1
CUST_250,69.00,Female,"£130,984.00",40.00,South,Married,3.00,Retired,801.00,4.00,0
CUST_251,46.00,Male,"£108,288.00",2.00,West,Widowed,4.00,Employed,447.00,12.00,0
CUST_252,23.00,Male,"£136,191.00",12.00,North,Widowed,3.00,Retired,335.00,11.00,0
CUST_253,23.00,Male,"£70,984.00",96.00,West,Widowed,3.00,Student,438.00,9.00,1
CUST_254,22.00,Male,"£82,225.00",54.00,West,Divorced,1.00,Employed,772.00,6.00,0
CUST_255,50.00,Male,"£132,215.00",47.00,North,Widowed,2.00,Unemployed,460.00,16.00,1
CUST_256,24.00,Male,"£139,973.00",92.00,North,Widowed,1.00,Retired,453.00,0.00,0
CUST_257,42.00,Male,"£68,305.00",32.00,West,Divorced,1.00,Retired,413.00,7.00,0
CUST_258,25.00,Male,"£88,636.00",31.00,East,Widowed,4.00,Unemployed,322.00,10.00,0
CUST_259,22.00,Female,"£84,927.00",21.00,West,Divorced,3.00,Retired,656.00,0.00,0
CUST_260,35.00,Female,"£79,493.00",98.00,South,Single,4.00,Retired,468.00,9.00,0
CUST_261,67.00,Female,"£114,042.00",60.00,South,Married,2.00,Retired,374.00,7.00,0
CUST_262,28.00,Male,"£93,053.00",5.00,South,Married,2.00,Student,546.00,1.00,0
CUST_263,29.00,Male,"£129,036.00",3.00,East,Widowed,2.00,Unemployed,465.00,12.00,0
CUST_264,19.00,Male,"£142,969.00",32.00,North,Widowed,1.00,Unemployed,651.00,1.00,0
CUST_265,24.00,Male,"£88,163.00",54.00,North,Widowed,1.00,Student,337.00,19.00,1
CUST_266,28.00,Male,"£103,199.00",64.00,East,Single,3.00,Unemployed,783.00,19.00,0
CUST_267,50.00,Male,"£127,486.00",40.00,North,Widowed,2.00,Retired,462.00,9.00,0
CUST_268,19.00,Male,"£139,884.00",4.00,North,Widowed,0.00,Student,844.00,5.00,0
CUST_269,35.00,Male,"£87,065.00",25.00,West,Single,1.00,Unemployed,578.00,19.00,1
CUST_270,62.00,Male,"£82,724.00",64.00,West,Widowed,2.00,Employed,408.00,19.00,0
CUST_271,52.00,Female,"£137,851.00",73.00,South,Widowed,3.00,Unemployed,531.00,14.00,0
CUST_272,26.00,Male,"£62,989.00",2.00,West,Married,4.00,Employed,427.00,0.00,0
CUST_273,27.00,Male,"£129,783.00",30.00,North,Widowed,1.00,Retired,726.00,5.00,0
CUST_274,63.00,Male,"£141,964.00",89.00,West,Widowed,3.00,Student,415.00,12.00,1
CUST_275,30.00,Male,"£95,427.00",39.00,East,Single,2.00,Employed,479.00,11.00,0
CUST_276,37.00,Male,"£110,185.00",41.00,North,Widowed,0.00,Unemployed,692.00,0.00,0
CUST_277,34.00,Male,"£129,884.00",12.00,East,Married,0.00,Student,829.00,4.00,1
CUST_278,35.00,Female,"£141,971.00",69.00,East,Single,1.00,Retired,312.00,9.00,0
CUST_279,43.00,Male,"£132,792.00",57.00,North,Married,1.00,Student,821.00,4.00,0
CUST_280,28.00,Female,"£74,899.00",23.00,West,Married,0.00,Unemployed,750.00,0.00,0
CUST_281,31.00,Female,"£115,517.00",33.00,East,Divorced,2.00,Employed,375.00,3.00,1
CUST_282,62.00,Male,"£41,111.00",74.00,South,Married,3.00,Unemployed,586.00,14.00,1
